time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
3.990000,-300.017000,-1100.192194,-300.017291,0.000000,16.593933,-1.757812,0.000291,3.015137,-1.870972,-3.898096
3.992000,-300.017000,-1100.192809,-300.017271,0.000000,-18.453598,0.585938,0.000271,2.703857,-1.637695,-2.745615
3.994000,-300.017000,-1100.192342,-300.017271,0.000000,14.019012,0.000000,0.000271,2.703857,-2.094727,-3.398122
3.996000,-300.017000,-1100.192504,-300.017291,0.000000,-4.863739,-0.585938,0.000291,3.210449,-1.513916,-3.389648
3.998000,-300.017000,-1100.192704,-300.017271,0.000000,-6.008148,0.585938,0.000271,3.210449,-1.970947,-2.643926
4.000000,-300.017000,-1100.192194,-300.017291,0.000000,15.306473,-0.585938,0.000291,3.869629,-1.742432,-3.821829
4.002000,-300.017000,-1100.192838,-300.017262,0.000000,-19.311905,0.878906,0.000262,3.869629,-1.623413,-2.516814
4.004000,-300.017000,-1100.192256,-300.017262,0.000000,17.452240,0.000000,0.000262,3.826904,-2.018555,-3.440493
4.006000,-300.017000,-1100.192571,-300.017281,0.000000,-9.441376,-0.585938,0.000281,3.826904,-1.423462,-3.126951
4.008000,-300.017000,-1100.192614,-300.017281,0.000000,-1.287460,0.000000,0.000281,3.057861,-1.970947,-2.643926
4.010000,-300.017000,-1100.192208,-300.017301,0.000000,12.159348,-0.585938,0.000301,3.057861,-1.594849,-3.703191
4.012000,-300.017000,-1100.192833,-300.017262,0.000000,-18.739700,1.171875,0.000262,2.429199,-1.632935,-2.330383
4.014000,-300.017000,-1100.192170,-300.017291,0.000000,19.884109,-0.878906,0.000291,2.429199,-1.913818,-3.482864
4.016000,-300.017000,-1100.192637,-300.017291,0.000000,-14.019012,0.000000,0.000291,2.630615,-1.361572,-2.821882
4.018000,-300.017000,-1100.192499,-300.017291,0.000000,4.148483,0.000000,0.000291,2.630615,-1.961426,-2.694770
4.020000,-300.017000,-1100.192246,-300.017291,0.000000,7.581711,0.000000,0.000291,3.387451,-1.452026,-3.499812
4.022000,-300.017000,-1100.192790,-300.017242,0.000000,-16.307831,1.464844,0.000242,3.387451,-1.666260,-2.194797
4.024000,-300.017000,-1100.192094,-300.017281,0.000000,20.885468,-1.171875,0.000281,3.765869,-1.785278,-3.516760
4.026000,-300.017000,-1100.192690,-300.017262,0.000000,-17.881393,0.585938,0.000262,3.765869,-1.333008,-2.525288
4.028000,-300.017000,-1100.192356,-300.017271,0.000000,10.013580,-0.292969,0.000271,3.265381,-1.928101,-2.804934
4.030000,-300.017000,-1100.192304,-300.017301,0.000000,1.573563,-0.878906,0.000301,3.265381,-1.328247,-3.254062
4.032000,-300.017000,-1100.192709,-300.017271,0.000000,-12.159348,0.878906,0.000271,2.423096,-1.704346,-2.127004
4.034000,-300.017000,-1100.192051,-300.017301,0.000000,19.741058,-0.878906,0.000301,2.423096,-1.628174,-3.516760
4.036000,-300.017000,-1100.192728,-300.017271,0.000000,-20.313263,0.878906,0.000271,2.154541,-1.342529,-2.237168
4.038000,-300.017000,-1100.192213,-300.017281,0.000000,15.449524,-0.292969,0.000281,2.154541,-1.866211,-2.932046
4.040000,-300.017000,-1100.192375,-300.017271,0.000000,-4.863739,0.292969,0.000271,2.728271,-1.223511,-2.957468
4.042000,-300.017000,-1100.192585,-300.017242,0.000000,-6.294250,0.878906,0.000242,2.728271,-1.737671,-2.143953
4.044000,-300.017000,-1100.192037,-300.017271,0.000000,16.450882,-0.878906,0.000271,3.442383,-1.471069,-3.423545
4.046000,-300.017000,-1100.192723,-300.017232,0.000000,-20.599365,1.171875,0.000232,3.442383,-1.375854,-2.016841
4.048000,-300.017000,-1100.192084,-300.017252,0.000000,19.168854,-0.585938,0.000252,3.430176,-1.775757,-3.042209
